route_id,depot_id,route_code,source,destination,route_name,estimated_duration_minutes,status,data_source
R0027,D009,BANGALOR-DEMO-R03,BANGALORE,DEMO TERMINAL C,BANGALORE - DEMO TERMINAL C,180,ACTIVE,MOCK
R0028,D010,CHADAYAM-DEMO-R01,CHADAYAMANGALAM,DEMO JUNCTION A,CHADAYAMANGALAM - DEMO JUNCTION A,120,ACTIVE,MOCK
R0029,D010,CHADAYAM-DEMO-R02,CHADAYAMANGALAM,DEMO JUNCTION B,CHADAYAMANGALAM - DEMO JUNCTION B,150,ACTIVE,MOCK
R0030,D010,CHADAYAM-DEMO-R03,CHADAYAMANGALAM,DEMO TERMINAL C,CHADAYAMANGALAM - DEMO TERMINAL C,180,ACTIVE,MOCK
R0031,D011,CHALAKUD-DEMO-R01,CHALAKUDY,DEMO JUNCTION A,CHALAKUDY - DEMO JUNCTION A,120,ACTIVE,MOCK
R0032,D011,CHALAKUD-DEMO-R02,CHALAKUDY,DEMO JUNCTION B,CHALAKUDY - DEMO JUNCTION B,150,ACTIVE,MOCK
R0033,D011,CHALAKUD-DEMO-R03,CHALAKUDY,DEMO TERMINAL C,CHALAKUDY - DEMO TERMINAL C,180,ACTIVE,MOCK
R0034,D012,CHANGANA-DEMO-R01,CHANGANASSERY,DEMO JUNCTION A,CHANGANASSERY - DEMO JUNCTION A,120,ACTIVE,MOCK
R0035,D012,CHANGANA-DEMO-R02,CHANGANASSERY,DEMO JUNCTION B,CHANGANASSERY - DEMO JUNCTION B,150,ACTIVE,MOCK
R0036,D012,CHANGANA-DEMO-R03,CHANGANASSERY,DEMO TERMINAL C,CHANGANASSERY - DEMO TERMINAL C,180,ACTIVE,MOCK
R0037,D013,CHATHANN-DEMO-R01,CHATHANNUR,DEMO JUNCTION A,CHATHANNUR - DEMO JUNCTION A,120,ACTIVE,MOCK
R0038,D013,CHATHANN-DEMO-R02,CHATHANNUR,DEMO JUNCTION B,CHATHANNUR - DEMO JUNCTION B,150,ACTIVE,MOCK
R0039,D013,CHATHANN-DEMO-R03,CHATHANNUR,DEMO TERMINAL C,CHATHANNUR - DEMO TERMINAL C,180,ACTIVE,MOCK
R0040,D014,CHENGANO-DEMO-R01,CHENGANOOR,DEMO JUNCTION A,CHENGANOOR - DEMO JUNCTION A,120,ACTIVE,MOCK
R0041,D014,CHENGANO-DEMO-R02,CHENGANOOR,DEMO JUNCTION B,CHENGANOOR - DEMO JUNCTION B,150,ACTIVE,MOCK
R0042,D014,CHENGANO-DEMO-R03,CHENGANOOR,DEMO TERMINAL C,CHENGANOOR - DEMO TERMINAL C,180,ACTIVE,MOCK
R0043,D015,CHERTHAL-DEMO-R01,CHERTHALA,DEMO JUNCTION A,CHERTHALA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0044,D015,CHERTHAL-DEMO-R02,CHERTHALA,DEMO JUNCTION B,CHERTHALA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0045,D015,CHERTHAL-DEMO-R03,CHERTHALA,DEMO TERMINAL C,CHERTHALA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0046,D016,CHITOOR-DEMO-R01,CHITOOR,DEMO JUNCTION A,CHITOOR - DEMO JUNCTION A,120,ACTIVE,MOCK
R0047,D016,CHITOOR-DEMO-R02,CHITOOR,DEMO JUNCTION B,CHITOOR - DEMO JUNCTION B,150,ACTIVE,MOCK
R0048,D016,CHITOOR-DEMO-R03,CHITOOR,DEMO TERMINAL C,CHITOOR - DEMO TERMINAL C,180,ACTIVE,MOCK
R0049,D017,EDATHUVA-DEMO-R01,EDATHUVA,DEMO JUNCTION A,EDATHUVA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0050,D017,EDATHUVA-DEMO-R02,EDATHUVA,DEMO JUNCTION B,EDATHUVA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0051,D017,EDATHUVA-DEMO-R03,EDATHUVA,DEMO TERMINAL C,EDATHUVA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0052,D018,EENCHAKK-DEMO-R01,EENCHAKKAL,DEMO JUNCTION A,EENCHAKKAL - DEMO JUNCTION A,120,ACTIVE,MOCK
R0053,D018,EENCHAKK-DEMO-R02,EENCHAKKAL,DEMO JUNCTION B,EENCHAKKAL - DEMO JUNCTION B,150,ACTIVE,MOCK
R0054,D018,EENCHAKK-DEMO-R03,EENCHAKKAL,DEMO TERMINAL C,EENCHAKKAL - DEMO TERMINAL C,180,ACTIVE,MOCK
R0055,D019,EERATTUP-DEMO-R01,EERATTUPETTAH,DEMO JUNCTION A,EERATTUPETTAH - DEMO JUNCTION A,120,ACTIVE,MOCK
R0056,D019,EERATTUP-DEMO-R02,EERATTUPETTAH,DEMO JUNCTION B,EERATTUPETTAH - DEMO JUNCTION B,150,ACTIVE,MOCK
R0057,D019,EERATTUP-DEMO-R03,EERATTUPETTAH,DEMO TERMINAL C,EERATTUPETTAH - DEMO TERMINAL C,180,ACTIVE,MOCK
R0058,D020,ERNAKULA-DEMO-R01,ERNAKULAM,DEMO JUNCTION A,ERNAKULAM - DEMO JUNCTION A,120,ACTIVE,MOCK
R0059,D020,ERNAKULA-DEMO-R02,ERNAKULAM,DEMO JUNCTION B,ERNAKULAM - DEMO JUNCTION B,150,ACTIVE,MOCK
R0060,D020,ERNAKULA-DEMO-R03,ERNAKULAM,DEMO TERMINAL C,ERNAKULAM - DEMO TERMINAL C,180,ACTIVE,MOCK
R0061,D021,ERUMELY-DEMO-R01,ERUMELY,DEMO JUNCTION A,ERUMELY - DEMO JUNCTION A,120,ACTIVE,MOCK
R0062,D021,ERUMELY-DEMO-R02,ERUMELY,DEMO JUNCTION B,ERUMELY - DEMO JUNCTION B,150,ACTIVE,MOCK
R0063,D021,ERUMELY-DEMO-R03,ERUMELY,DEMO TERMINAL C,ERUMELY - DEMO TERMINAL C,180,ACTIVE,MOCK
R0064,D022,GURUVAYO-DEMO-R01,GURUVAYOOR,DEMO JUNCTION A,GURUVAYOOR - DEMO JUNCTION A,120,ACTIVE,MOCK
R0065,D022,GURUVAYO-DEMO-R02,GURUVAYOOR,DEMO JUNCTION B,GURUVAYOOR - DEMO JUNCTION B,150,ACTIVE,MOCK
R0066,D022,GURUVAYO-DEMO-R03,GURUVAYOOR,DEMO TERMINAL C,GURUVAYOOR - DEMO TERMINAL C,180,ACTIVE,MOCK
R0067,D023,HARIPPAD-DEMO-R01,HARIPPAD,DEMO JUNCTION A,HARIPPAD - DEMO JUNCTION A,120,ACTIVE,MOCK
R0068,D023,HARIPPAD-DEMO-R02,HARIPPAD,DEMO JUNCTION B,HARIPPAD - DEMO JUNCTION B,150,ACTIVE,MOCK
R0069,D023,HARIPPAD-DEMO-R03,HARIPPAD,DEMO TERMINAL C,HARIPPAD - DEMO TERMINAL C,180,ACTIVE,MOCK
R0070,D024,IRINJALA-DEMO-R01,IRINJALAKKUDA,DEMO JUNCTION A,IRINJALAKKUDA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0071,D024,IRINJALA-DEMO-R02,IRINJALAKKUDA,DEMO JUNCTION B,IRINJALAKKUDA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0072,D024,IRINJALA-DEMO-R03,IRINJALAKKUDA,DEMO TERMINAL C,IRINJALAKKUDA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0073,D025,KALPETTA-DEMO-R01,KALPETTA,DEMO JUNCTION A,KALPETTA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0074,D025,KALPETTA-DEMO-R02,KALPETTA,DEMO JUNCTION B,KALPETTA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0075,D025,KALPETTA-DEMO-R03,KALPETTA,DEMO TERMINAL C,KALPETTA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0076,D026,KANHANGA-DEMO-R01,KANHANGAD,DEMO JUNCTION A,KANHANGAD - DEMO JUNCTION A,120,ACTIVE,MOCK
R0077,D026,KANHANGA-DEMO-R02,KANHANGAD,DEMO JUNCTION B,KANHANGAD - DEMO JUNCTION B,150,ACTIVE,MOCK
R0078,D026,KANHANGA-DEMO-R03,KANHANGAD,DEMO TERMINAL C,KANHANGAD - DEMO TERMINAL C,180,ACTIVE,MOCK
R0079,D027,KANIYAPU-DEMO-R01,KANIYAPURAM,DEMO JUNCTION A,KANIYAPURAM - DEMO JUNCTION A,120,ACTIVE,MOCK
R0080,D027,KANIYAPU-DEMO-R02,KANIYAPURAM,DEMO JUNCTION B,KANIYAPURAM - DEMO JUNCTION B,150,ACTIVE,MOCK
R0081,D027,KANIYAPU-DEMO-R03,KANIYAPURAM,DEMO TERMINAL C,KANIYAPURAM - DEMO TERMINAL C,180,ACTIVE,MOCK
R0082,D028,KANNUR-DEMO-R01,KANNUR,DEMO JUNCTION A,KANNUR - DEMO JUNCTION A,120,ACTIVE,MOCK
R0083,D028,KANNUR-DEMO-R02,KANNUR,DEMO JUNCTION B,KANNUR - DEMO JUNCTION B,150,ACTIVE,MOCK
R0084,D028,KANNUR-DEMO-R03,KANNUR,DEMO TERMINAL C,KANNUR - DEMO TERMINAL C,180,ACTIVE,MOCK
R0085,D029,KARUNAGA-DEMO-R01,KARUNAGAPALLY,DEMO JUNCTION A,KARUNAGAPALLY - DEMO JUNCTION A,120,ACTIVE,MOCK
R0086,D029,KARUNAGA-DEMO-R02,KARUNAGAPALLY,DEMO JUNCTION B,KARUNAGAPALLY - DEMO JUNCTION B,150,ACTIVE,MOCK
R0087,D029,KARUNAGA-DEMO-R03,KARUNAGAPALLY,DEMO TERMINAL C,KARUNAGAPALLY - DEMO TERMINAL C,180,ACTIVE,MOCK
R0088,D030,KASARAGO-DEMO-R01,KASARAGOD,DEMO JUNCTION A,KASARAGOD - DEMO JUNCTION A,120,ACTIVE,MOCK
R0089,D030,KASARAGO-DEMO-R02,KASARAGOD,DEMO JUNCTION B,KASARAGOD - DEMO JUNCTION B,150,ACTIVE,MOCK
R0090,D030,KASARAGO-DEMO-R03,KASARAGOD,DEMO TERMINAL C,KASARAGOD - DEMO TERMINAL C,180,ACTIVE,MOCK
R0091,D031,KATTAKAD-DEMO-R01,KATTAKADA,DEMO JUNCTION A,KATTAKADA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0092,D031,KATTAKAD-DEMO-R02,KATTAKADA,DEMO JUNCTION B,KATTAKADA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0093,D031,KATTAKAD-DEMO-R03,KATTAKADA,DEMO TERMINAL C,KATTAKADA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0094,D032,KATTAPPA-DEMO-R01,KATTAPPANA,DEMO JUNCTION A,KATTAPPANA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0095,D032,KATTAPPA-DEMO-R02,KATTAPPANA,DEMO JUNCTION B,KATTAPPANA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0096,D032,KATTAPPA-DEMO-R03,KATTAPPANA,DEMO TERMINAL C,KATTAPPANA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0097,D033,KAYAMKUL-DEMO-R01,KAYAMKULAM,DEMO JUNCTION A,KAYAMKULAM - DEMO JUNCTION A,120,ACTIVE,MOCK
R0098,D033,KAYAMKUL-DEMO-R02,KAYAMKULAM,DEMO JUNCTION B,KAYAMKULAM - DEMO JUNCTION B,150,ACTIVE,MOCK
R0099,D033,KAYAMKUL-DEMO-R03,KAYAMKULAM,DEMO TERMINAL C,KAYAMKULAM - DEMO TERMINAL C,180,ACTIVE,MOCK
R0100,D034,KILIMANO-DEMO-R01,KILIMANOOR,DEMO JUNCTION A,KILIMANOOR - DEMO JUNCTION A,120,ACTIVE,MOCK
R0101,D034,KILIMANO-DEMO-R02,KILIMANOOR,DEMO JUNCTION B,KILIMANOOR - DEMO JUNCTION B,150,ACTIVE,MOCK
R0102,D034,KILIMANO-DEMO-R03,KILIMANOOR,DEMO TERMINAL C,KILIMANOOR - DEMO TERMINAL C,180,ACTIVE,MOCK
R0103,D035,KODUNGAL-DEMO-R01,KODUNGALOOR,DEMO JUNCTION A,KODUNGALOOR - DEMO JUNCTION A,120,ACTIVE,MOCK
R0104,D035,KODUNGAL-DEMO-R02,KODUNGALOOR,DEMO JUNCTION B,KODUNGALOOR - DEMO JUNCTION B,150,ACTIVE,MOCK
R0105,D035,KODUNGAL-DEMO-R03,KODUNGALOOR,DEMO TERMINAL C,KODUNGALOOR - DEMO TERMINAL C,180,ACTIVE,MOCK
R0106,D036,KOLLAM-DEMO-R01,KOLLAM,DEMO JUNCTION A,KOLLAM - DEMO JUNCTION A,120,ACTIVE,MOCK
R0107,D036,KOLLAM-DEMO-R02,KOLLAM,DEMO JUNCTION B,KOLLAM - DEMO JUNCTION B,150,ACTIVE,MOCK
R0108,D036,KOLLAM-DEMO-R03,KOLLAM,DEMO TERMINAL C,KOLLAM - DEMO TERMINAL C,180,ACTIVE,MOCK
R0109,D037,KONNI-DEMO-R01,KONNI,DEMO JUNCTION A,KONNI - DEMO JUNCTION A,120,ACTIVE,MOCK
R0110,D037,KONNI-DEMO-R02,KONNI,DEMO JUNCTION B,KONNI - DEMO JUNCTION B,150,ACTIVE,MOCK
R0111,D037,KONNI-DEMO-R03,KONNI,DEMO TERMINAL C,KONNI - DEMO TERMINAL C,180,ACTIVE,MOCK
R0112,D038,KOOTHATT-DEMO-R01,KOOTHATTUKULAM,DEMO JUNCTION A,KOOTHATTUKULAM - DEMO JUNCTION A,120,ACTIVE,MOCK
R0113,D038,KOOTHATT-DEMO-R02,KOOTHATTUKULAM,DEMO JUNCTION B,KOOTHATTUKULAM - DEMO JUNCTION B,150,ACTIVE,MOCK
R0114,D038,KOOTHATT-DEMO-R03,KOOTHATTUKULAM,DEMO TERMINAL C,KOOTHATTUKULAM - DEMO TERMINAL C,180,ACTIVE,MOCK
R0115,D039,KOTHAMAN-DEMO-R01,KOTHAMANGALAM,DEMO JUNCTION A,KOTHAMANGALAM - DEMO JUNCTION A,120,ACTIVE,MOCK
R0116,D039,KOTHAMAN-DEMO-R02,KOTHAMANGALAM,DEMO JUNCTION B,KOTHAMANGALAM - DEMO JUNCTION B,150,ACTIVE,MOCK
R0117,D039,KOTHAMAN-DEMO-R03,KOTHAMANGALAM,DEMO TERMINAL C,KOTHAMANGALAM - DEMO TERMINAL C,180,ACTIVE,MOCK
R0118,D040,KOTTARAK-DEMO-R01,KOTTARAKKARA,DEMO JUNCTION A,KOTTARAKKARA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0119,D040,KOTTARAK-DEMO-R02,KOTTARAKKARA,DEMO JUNCTION B,KOTTARAKKARA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0120,D040,KOTTARAK-DEMO-R03,KOTTARAKKARA,DEMO TERMINAL C,KOTTARAKKARA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0121,D041,KOTTAYAM-DEMO-R01,KOTTAYAM,DEMO JUNCTION A,KOTTAYAM - DEMO JUNCTION A,120,ACTIVE,MOCK
R0122,D041,KOTTAYAM-DEMO-R02,KOTTAYAM,DEMO JUNCTION B,KOTTAYAM - DEMO JUNCTION B,150,ACTIVE,MOCK
R0123,D041,KOTTAYAM-DEMO-R03,KOTTAYAM,DEMO TERMINAL C,KOTTAYAM - DEMO TERMINAL C,180,ACTIVE,MOCK
R0124,D042,KOZHIKOD-DEMO-R01,KOZHIKODE,DEMO JUNCTION A,KOZHIKODE - DEMO JUNCTION A,120,ACTIVE,MOCK
R0125,D042,KOZHIKOD-DEMO-R02,KOZHIKODE,DEMO JUNCTION B,KOZHIKODE - DEMO JUNCTION B,150,ACTIVE,MOCK
R0126,D042,KOZHIKOD-DEMO-R03,KOZHIKODE,DEMO TERMINAL C,KOZHIKODE - DEMO TERMINAL C,180,ACTIVE,MOCK
R0127,D043,KULATHUP-DEMO-R01,KULATHUPUZHA,DEMO JUNCTION A,KULATHUPUZHA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0128,D043,KULATHUP-DEMO-R02,KULATHUPUZHA,DEMO JUNCTION B,KULATHUPUZHA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0129,D043,KULATHUP-DEMO-R03,KULATHUPUZHA,DEMO TERMINAL C,KULATHUPUZHA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0130,D044,KUMALY-DEMO-R01,KUMALY,DEMO JUNCTION A,KUMALY - DEMO JUNCTION A,120,ACTIVE,MOCK
R0131,D044,KUMALY-DEMO-R02,KUMALY,DEMO JUNCTION B,KUMALY - DEMO JUNCTION B,150,ACTIVE,MOCK
R0132,D044,KUMALY-DEMO-R03,KUMALY,DEMO TERMINAL C,KUMALY - DEMO TERMINAL C,180,ACTIVE,MOCK
R0133,D045,MALA-DEMO-R01,MALA,DEMO JUNCTION A,MALA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0134,D045,MALA-DEMO-R02,MALA,DEMO JUNCTION B,MALA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0135,D045,MALA-DEMO-R03,MALA,DEMO TERMINAL C,MALA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0136,D046,MALAPPUR-DEMO-R01,MALAPPURAM,DEMO JUNCTION A,MALAPPURAM - DEMO JUNCTION A,120,ACTIVE,MOCK
R0137,D046,MALAPPUR-DEMO-R02,MALAPPURAM,DEMO JUNCTION B,MALAPPURAM - DEMO JUNCTION B,150,ACTIVE,MOCK
R0138,D046,MALAPPUR-DEMO-R03,MALAPPURAM,DEMO TERMINAL C,MALAPPURAM - DEMO TERMINAL C,180,ACTIVE,MOCK
R0139,D047,MALLAPAL-DEMO-R01,MALLAPALLY,DEMO JUNCTION A,MALLAPALLY - DEMO JUNCTION A,120,ACTIVE,MOCK
R0140,D047,MALLAPAL-DEMO-R02,MALLAPALLY,DEMO JUNCTION B,MALLAPALLY - DEMO JUNCTION B,150,ACTIVE,MOCK
R0141,D047,MALLAPAL-DEMO-R03,MALLAPALLY,DEMO TERMINAL C,MALLAPALLY - DEMO TERMINAL C,180,ACTIVE,MOCK
R0142,D048,MANANTHA-DEMO-R01,MANANTHAVADY,DEMO JUNCTION A,MANANTHAVADY - DEMO JUNCTION A,120,ACTIVE,MOCK
R0143,D048,MANANTHA-DEMO-R02,MANANTHAVADY,DEMO JUNCTION B,MANANTHAVADY - DEMO JUNCTION B,150,ACTIVE,MOCK
R0144,D048,MANANTHA-DEMO-R03,MANANTHAVADY,DEMO TERMINAL C,MANANTHAVADY - DEMO TERMINAL C,180,ACTIVE,MOCK
R0145,D049,MANNARGH-DEMO-R01,MANNARGHAT,DEMO JUNCTION A,MANNARGHAT - DEMO JUNCTION A,120,ACTIVE,MOCK
R0146,D049,MANNARGH-DEMO-R02,MANNARGHAT,DEMO JUNCTION B,MANNARGHAT - DEMO JUNCTION B,150,ACTIVE,MOCK
R0147,D049,MANNARGH-DEMO-R03,MANNARGHAT,DEMO TERMINAL C,MANNARGHAT - DEMO TERMINAL C,180,ACTIVE,MOCK
R0148,D050,MAVELIKA-DEMO-R01,MAVELIKARA,DEMO JUNCTION A,MAVELIKARA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0149,D050,MAVELIKA-DEMO-R02,MAVELIKARA,DEMO JUNCTION B,MAVELIKARA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0150,D050,MAVELIKA-DEMO-R03,MAVELIKARA,DEMO TERMINAL C,MAVELIKARA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0151,D051,MOOLAMAT-DEMO-R01,MOOLAMATTOM,DEMO JUNCTION A,MOOLAMATTOM - DEMO JUNCTION A,120,ACTIVE,MOCK
R0152,D051,MOOLAMAT-DEMO-R02,MOOLAMATTOM,DEMO JUNCTION B,MOOLAMATTOM - DEMO JUNCTION B,150,ACTIVE,MOCK
R0153,D051,MOOLAMAT-DEMO-R03,MOOLAMATTOM,DEMO TERMINAL C,MOOLAMATTOM - DEMO TERMINAL C,180,ACTIVE,MOCK
R0154,D052,MOOVATTU-DEMO-R01,MOOVATTUPUZHA,DEMO JUNCTION A,MOOVATTUPUZHA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0155,D052,MOOVATTU-DEMO-R02,MOOVATTUPUZHA,DEMO JUNCTION B,MOOVATTUPUZHA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0156,D052,MOOVATTU-DEMO-R03,MOOVATTUPUZHA,DEMO TERMINAL C,MOOVATTUPUZHA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0157,D053,MUNNAR-DEMO-R01,MUNNAR,DEMO JUNCTION A,MUNNAR - DEMO JUNCTION A,120,ACTIVE,MOCK
R0158,D053,MUNNAR-DEMO-R02,MUNNAR,DEMO JUNCTION B,MUNNAR - DEMO JUNCTION B,150,ACTIVE,MOCK
R0159,D053,MUNNAR-DEMO-R03,MUNNAR,DEMO TERMINAL C,MUNNAR - DEMO TERMINAL C,180,ACTIVE,MOCK
R0160,D054,NEDUMANG-DEMO-R01,NEDUMANGAD,DEMO JUNCTION A,NEDUMANGAD - DEMO JUNCTION A,120,ACTIVE,MOCK
R0161,D054,NEDUMANG-DEMO-R02,NEDUMANGAD,DEMO JUNCTION B,NEDUMANGAD - DEMO JUNCTION B,150,ACTIVE,MOCK
R0162,D054,NEDUMANG-DEMO-R03,NEDUMANGAD,DEMO TERMINAL C,NEDUMANGAD - DEMO TERMINAL C,180,ACTIVE,MOCK
R0163,D055,NEDUMKAN-DEMO-R01,NEDUMKANDAM,DEMO JUNCTION A,NEDUMKANDAM - DEMO JUNCTION A,120,ACTIVE,MOCK
R0164,D055,NEDUMKAN-DEMO-R02,NEDUMKANDAM,DEMO JUNCTION B,NEDUMKANDAM - DEMO JUNCTION B,150,ACTIVE,MOCK
R0165,D055,NEDUMKAN-DEMO-R03,NEDUMKANDAM,DEMO TERMINAL C,NEDUMKANDAM - DEMO TERMINAL C,180,ACTIVE,MOCK
R0166,D056,NEYYATIN-DEMO-R01,NEYYATINKARA,DEMO JUNCTION A,NEYYATINKARA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0167,D056,NEYYATIN-DEMO-R02,NEYYATINKARA,DEMO JUNCTION B,NEYYATINKARA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0168,D056,NEYYATIN-DEMO-R03,NEYYATINKARA,DEMO TERMINAL C,NEYYATINKARA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0169,D057,NILAMBUR-DEMO-R01,NILAMBUR,DEMO JUNCTION A,NILAMBUR - DEMO JUNCTION A,120,ACTIVE,MOCK
R0170,D057,NILAMBUR-DEMO-R02,NILAMBUR,DEMO JUNCTION B,NILAMBUR - DEMO JUNCTION B,150,ACTIVE,MOCK
R0171,D057,NILAMBUR-DEMO-R03,NILAMBUR,DEMO TERMINAL C,NILAMBUR - DEMO TERMINAL C,180,ACTIVE,MOCK
R0172,D058,NORTHPAR-DEMO-R01,NORTH PARAVUR,DEMO JUNCTION A,NORTH PARAVUR - DEMO JUNCTION A,120,ACTIVE,MOCK
R0173,D058,NORTHPAR-DEMO-R02,NORTH PARAVUR,DEMO JUNCTION B,NORTH PARAVUR - DEMO JUNCTION B,150,ACTIVE,MOCK
R0174,D058,NORTHPAR-DEMO-R03,NORTH PARAVUR,DEMO TERMINAL C,NORTH PARAVUR - DEMO TERMINAL C,180,ACTIVE,MOCK
R0175,D059,PALA-DEMO-R01,PALA,DEMO JUNCTION A,PALA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0176,D059,PALA-DEMO-R02,PALA,DEMO JUNCTION B,PALA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0177,D059,PALA-DEMO-R03,PALA,DEMO TERMINAL C,PALA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0178,D060,PALAKKAD-DEMO-R01,PALAKKAD,DEMO JUNCTION A,PALAKKAD - DEMO JUNCTION A,120,ACTIVE,MOCK
